Date,Open Price,High Price,Low Price,Close Price,,EMA_26,EMA_12,,MACD_values,signal_line,Histogram value,,BUY,SELL
19-Oct-23,3473.95,3478.35,3451.85,3454.75,,3433.795033,3405.52762,,-28.26741255,-51.95357161,23.68615906,,FALSE,FALSE
18-Oct-23,3507.1,3523.55,3485,3487.15,,3437.747253,3418.08491,,-19.66234316,-45.49532592,25.83298276,,FALSE,FALSE
17-Oct-23,3536.95,3536.95,3503.35,3506.65,,3442.85116,3431.710308,,-11.14085184,-38.62443111,27.48357926,,FALSE,FALSE
16-Oct-23,3564.95,3574.95,3517.75,3524.15,,3448.873296,3445.931799,,-2.941497085,-31.4878443,28.54634722,,FALSE,FALSE
13-Oct-23,3529.95,3579.2,3525,3570.3,,3457.867867,3465.065369,,7.197501624,-23.75077512,30.94827674,,FALSE,FALSE
12-Oct-23,3585,3588.75,3539,3542.25,,3464.118395,3476.939927,,12.82153193,-16.43631371,29.25784564,,FALSE,FALSE
11-Oct-23,3664,3664,3606,3610.2,,3474.939255,3497.441477,,22.50222198,-8.648606568,31.15082855,,FALSE,FALSE
10-Oct-23,3639.95,3650,3601.9,3629.2,,3486.365977,3517.712019,,31.34604214,-0.649676826,31.99571897,,FALSE,FALSE
09-Oct-23,3654,3680,3630,3637.25,,3497.542571,3536.102478,,38.55990646,7.192239831,31.36766663,,FALSE,FALSE
06-Oct-23,3590,3634.25,3576.95,3620.2,,3506.628307,3549.040558,,42.41225136,14.23624214,28.17600923,,FALSE,FALSE
05-Oct-23,3557.95,3624,3553.65,3589.1,,3512.737321,3555.203549,,42.46622812,19.88223933,22.58398879,,FALSE,FALSE
04-Oct-23,3485.6,3546,3477,3536.65,,3514.50863,3552.349157,,37.8405264,23.47389675,14.36662966,,FALSE,FALSE
03-Oct-23,3531.05,3534.75,3480,3515.25,,3514.563547,3546.641594,,32.07804755,25.19472691,6.883320641,,FALSE,FALSE
29-Sep-23,3535,3568,3506,3530.75,,3515.762543,3544.196734,,28.43419035,25.8426196,2.591570757,,FALSE,FALSE
28-Sep-23,3599.95,3602.55,3528.8,3537.25,,3517.354207,3543.128005,,25.77379864,25.82885541,-0.055056762,,FALSE,TRUE
27-Sep-23,3595.95,3613,3555.6,3587.65,,3522.561303,3549.977543,,27.41624048,26.14633242,1.269908061,,TRUE,FALSE
26-Sep-23,3577.4,3593.1,3536.35,3583.15,,3527.049354,3555.080998,,28.03164374,26.52339469,1.508249055,,FALSE,FALSE
25-Sep-23,3599.9,3611,3560.05,3577.45,,3530.782735,3558.522383,,27.73964751,26.76664525,0.973002255,,FALSE,FALSE
22-Sep-23,3580.05,3633.05,3564.55,3602.65,,3536.106236,3565.311247,,29.2050106,27.25431832,1.950692277,,FALSE,FALSE
21-Sep-23,3590,3604.25,3528.1,3583.95,,3539.650219,3568.178747,,28.52852857,27.50916037,1.019368198,,FALSE,FALSE
20-Sep-23,3561.05,3625,3561.05,3606.55,,3544.605758,3574.082017,,29.47625884,27.90258006,1.573678781,,FALSE,FALSE
18-Sep-23,3583.95,3618.95,3574.05,3604.9,,3549.071998,3578.823245,,29.75124685,28.27231342,1.478933432,,FALSE,FALSE
15-Sep-23,3562,3606.5,3562,3599.85,,3552.833332,3582.058131,,29.22479875,28.46281049,0.761988261,,FALSE,FALSE
14-Sep-23,3567.85,3597.65,3546.05,3559.15,,3553.301233,3578.533803,,25.23256962,27.81676231,-2.584192693,,FALSE,TRUE
13-Sep-23,3562.55,3588,3545.05,3565.55,,3554.208549,3576.536295,,22.32774544,26.71895894,-4.391213502,,FALSE,FALSE
12-Sep-23,3485.05,3589.85,3484.05,3580.6,,3556.163472,3577.16148,,20.99800859,25.57476887,-4.576760277,,FALSE,FALSE
11-Sep-23,3451.15,3484.5,3445.1,3479.35,,3550.473585,3562.11356,,11.63997535,22.78781017,-11.14783481,,FALSE,FALSE
08-Sep-23,3445.05,3463.5,3435.1,3443.25,,3542.531097,3543.826859,,1.295761559,18.48940044,-17.19363889,,FALSE,FALSE
07-Sep-23,3445.95,3462,3423,3455.55,,3536.088053,3530.245803,,-5.842249381,13.62307048,-19.46531986,,FALSE,FALSE
06-Sep-23,3429.55,3443.6,3400,3429.85,,3528.218567,3514.800295,,-13.4182722,8.214801943,-21.63307415,,FALSE,FALSE
05-Sep-23,3417.85,3447,3406,3427.85,,3520.783859,3501.423327,,-19.360532,2.699735155,-22.06026715,,FALSE,FALSE
04-Sep-23,3371.05,3432.55,3370.05,3417.85,,3513.159128,3488.565892,,-24.5932366,-2.758859196,-21.8343774,,FALSE,FALSE
01-Sep-23,3359.05,3389,3357.05,3379.2,,3503.23623,3471.74037,,-31.49586001,-8.50625936,-22.98960066,,FALSE,FALSE
31-Aug-23,3392.2,3416.5,3345,3357.05,,3492.40762,3454.095698,,-38.31192269,-14.46739203,-23.84453067,,FALSE,FALSE
30-Aug-23,3390,3408.65,3382.05,3390.05,,3484.825574,3444.242513,,-40.583061,-19.69052582,-20.89253518,,FALSE,FALSE
29-Aug-23,3376.05,3389.4,3366,3377.65,,3476.886643,3433.997511,,-42.88913162,-24.33024698,-18.55888464,,FALSE,FALSE
28-Aug-23,3386.05,3391.8,3360,3375,,3469.339484,3424.920971,,-44.41851309,-28.3479002,-16.07061289,,FALSE,FALSE
25-Aug-23,3375,3385,3350,3380.6,,3462.766189,3418.10236,,-44.66382891,-31.61108594,-13.05274297,,FALSE,FALSE
24-Aug-23,3405,3413.55,3378.35,3388.8,,3457.287212,3413.594305,,-43.69290736,-34.02745023,-9.665457128,,FALSE,FALSE
23-Aug-23,3383.3,3401.9,3375.9,3399.45,,3453.002974,3411.418258,,-41.58471631,-35.53890344,-6.045812866,,FALSE,FALSE
22-Aug-23,3401.75,3410,3366,3383.25,,3447.836087,3407.08468,,-40.75140747,-36.58140425,-4.170003221,,FALSE,FALSE
21-Aug-23,3367,3409,3366.95,3401.75,,3444.422303,3406.26396,,-38.15834319,-36.89679204,-1.261551156,,FALSE,FALSE
18-Aug-23,3411.3,3412.5,3350,3367.65,,3438.735466,3400.323351,,-38.41211513,-37.19985666,-1.212258477,,FALSE,FALSE
17-Aug-23,3457.55,3461,3414,3441.35,,3438.929135,3406.635143,,-32.29399212,-36.21868375,3.924691627,,TRUE,FALSE
16-Aug-23,3455,3465.05,3434,3457.55,,3440.308458,3414.468198,,-25.84026051,-34.1429991,8.302738592,,FALSE,FALSE
14-Aug-23,3425.05,3454.5,3410.3,3449.85,,3441.015239,3419.911552,,-21.10368719,-31.53513672,10.43144953,,FALSE,FALSE
11-Aug-23,3440,3466.4,3415,3449.35,,3441.632629,3424.440544,,-17.19208487,-28.66652635,11.47444148,,FALSE,FALSE
10-Aug-23,3444.05,3455,3431,3443.45,,3441.767249,3427.365076,,-14.40217326,-25.81365573,11.41148247,,FALSE,FALSE
09-Aug-23,3469,3469,3425,3464,,3443.414119,3433.001218,,-10.41290151,-22.73350489,12.32060338,,FALSE,FALSE
08-Aug-23,3483.85,3487.5,3457.1,3469.85,,3445.372333,3438.670261,,-6.702071481,-19.52721821,12.82514673,,FALSE,FALSE
07-Aug-23,3443,3487.75,3442,3483.75,,3448.215123,3445.605606,,-2.609517228,-16.14367801,13.53416078,,FALSE,FALSE
04-Aug-23,3391.1,3470.15,3391.1,3442.3,,3447.776966,3445.097051,,-2.679914696,-13.45092535,10.77101065,,FALSE,FALSE
03-Aug-23,3425,3432.7,3367.3,3399.7,,3444.215709,3438.112889,,-6.102819668,-11.98130421,5.878484544,,FALSE,FALSE
02-Aug-23,3417.6,3446.7,3415,3440.65,,3443.951582,3438.503214,,-5.448368353,-10.67471704,5.226348687,,FALSE,FALSE
01-Aug-23,3408.15,3461,3408.15,3450.85,,3444.462576,3440.40272,,-4.059856715,-9.351744975,5.29188826,,FALSE,FALSE
31-Jul-23,3356.05,3426,3356.05,3421.1,,3442.732015,3437.43307,,-5.298944671,-8.541184914,3.242240243,,FALSE,FALSE
28-Jul-23,3389.85,3389.85,3331,3355.35,,3436.259273,3424.804906,,-11.45436749,-9.123821429,-2.330546061,,FALSE,TRUE
27-Jul-23,3385.05,3410.75,3385.05,3396.15,,3433.288216,3420.396459,,-12.89175725,-9.877408593,-3.014348655,,FALSE,FALSE
26-Jul-23,3385.05,3421.75,3384.9,3387,,3429.859459,3415.258542,,-14.60091723,-10.82211032,-3.778806912,,FALSE,FALSE
25-Jul-23,3394.2,3406.75,3382,3399.05,,3427.577277,3412.76492,,-14.81235691,-11.62015964,-3.192197271,,FALSE,FALSE
24-Jul-23,3374,3413.4,3371,3394.2,,3425.104886,3409.908779,,-15.19610758,-12.33534923,-2.860758349,,FALSE,FALSE
21-Jul-23,3423.95,3435,3357.7,3369.6,,3420.993413,3403.707428,,-17.28598508,-13.3254764,-3.96050868,,FALSE,FALSE
20-Jul-23,3457,3478.5,3436,3462.35,,3424.056864,3412.729362,,-11.32750181,-12.92588148,1.598379671,,TRUE,FALSE
19-Jul-23,3495.05,3516,3446.2,3471,,3427.534133,3421.694076,,-5.840057629,-11.50871671,5.668659079,,FALSE,FALSE
18-Jul-23,3486,3525,3464,3499.8,,3432.88716,3433.710372,,0.823211258,-9.042331115,9.865542373,,FALSE,FALSE
17-Jul-23,3512,3549,3477.5,3491.95,,3437.262186,3442.670315,,5.408128919,-6.152239108,11.56036803,,FALSE,FALSE
14-Jul-23,3360.3,3524,3352.05,3512,,3442.79832,3453.33642,,10.53809998,-2.814171292,13.35227127,,FALSE,FALSE
13-Jul-23,3276,3366,3273.05,3340.65,,3435.231778,3436.000048,,0.768269892,-2.097683055,2.865952947,,FALSE,FALSE
12-Jul-23,3275.15,3290.35,3250,3260.2,,3422.266461,3408.953887,,-13.31257442,-4.340661327,-8.971913089,,FALSE,TRUE
11-Jul-23,3294,3294,3261,3271.85,,3411.124501,3387.860981,,-23.26351996,-8.125233055,-15.13828691,,FALSE,FALSE
10-Jul-23,3326.1,3326.1,3265,3272.3,,3400.841204,3370.082368,,-30.75883605,-12.65195365,-18.1068824,,FALSE,FALSE
07-Jul-23,3300.85,3356.4,3300.85,3325.7,,3395.275189,3363.254312,,-32.02087759,-16.52573844,-15.49513915,,FALSE,FALSE
06-Jul-23,3300,3327,3300,3322.85,,3389.910361,3357.038264,,-32.87209671,-19.79501009,-13.07708661,,FALSE,FALSE
05-Jul-23,3312.05,3329,3305,3320.5,,3384.768852,3351.416992,,-33.35185988,-22.50638005,-10.84547983,,FALSE,FALSE
04-Jul-23,3294,3314.85,3275,3308,,3379.082271,3344.737455,,-34.34481552,-24.87406714,-9.470748377,,FALSE,FALSE
03-Jul-23,3306.7,3318.65,3267,3271.4,,3371.105806,3333.45477,,-37.65103643,-27.429461,-10.22157543,,FALSE,FALSE
30-Jun-23,3215,3309.6,3215,3300.5,,3365.875746,3328.384805,,-37.49094129,-29.44175706,-8.049184233,,FALSE,FALSE
28-Jun-23,3203.05,3231,3193.2,3214.75,,3354.681247,3310.902527,,-43.77871927,-32.3091495,-11.46956977,,FALSE,FALSE
27-Jun-23,3200,3209.7,3183,3196.6,,3342.971525,3293.317523,,-49.65400152,-35.77811991,-13.87588161,,FALSE,FALSE
26-Jun-23,3202,3210.25,3172.45,3189.9,,3331.632893,3277.407135,,-54.22575824,-39.46764757,-14.75811067,,FALSE,FALSE
23-Jun-23,3236,3247,3209,3217.45,,3323.174901,3268.18296,,-54.99194077,-42.57250621,-12.41943456,,FALSE,FALSE
22-Jun-23,3265.95,3267,3231.85,3238.85,,3316.928612,3263.670197,,-53.25841493,-44.70968796,-8.548726976,,FALSE,FALSE
21-Jun-23,3240.05,3261,3224.5,3257.45,,3312.522789,3262.713244,,-49.80954523,-45.72965941,-4.079885821,,FALSE,FALSE
20-Jun-23,3214,3232,3201.6,3227.2,,3306.202582,3257.249668,,-48.95291461,-46.37431045,-2.578604159,,FALSE,FALSE
19-Jun-23,3175.3,3215,3173,3209.65,,3299.050539,3249.926642,,-49.12389729,-46.92422782,-2.199669471,,FALSE,FALSE
16-Jun-23,3203.95,3203.95,3156.2,3175.25,,3289.880129,3238.437928,,-51.44220113,-47.82782248,-3.614378649,,FALSE,FALSE
15-Jun-23,3240.05,3245.45,3211,3216.25,,3284.426045,3235.024401,,-49.40164487,-48.14258696,-1.259057908,,FALSE,FALSE
14-Jun-23,3241.05,3255.75,3226,3251.75,,3282.005598,3237.59757,,-44.40802791,-47.39567515,2.98764724,,TRUE,FALSE
13-Jun-23,3256,3265,3240.6,3243.8,,3279.175553,3238.55179,,-40.62376359,-46.04129284,5.417529245,,FALSE,FALSE
